City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Vieux-Habitants,GP,16.0589,-61.7659,72.97,78,17,8.9,few clouds
150,Vao,NC,-22.6667,167.4833,75.09,78,100,8.32,overcast clouds
151,Mitsamiouli,KM,-11.3847,43.2844,79.5,76,7,11.92,clear sky
152,Karratha,AU,-20.7377,116.8463,88.09,45,86,6.22,overcast clouds
153,Meulaboh,ID,4.1363,96.1285,76.93,87,100,3.06,overcast clouds
154,Waynesboro,US,38.0685,-78.8895,40.39,42,1,5.75,clear sky
155,Barsovo,RU,61.1667,73.1667,21.33,94,100,12.19,light snow
156,Saint-Philippe,RE,-21.3585,55.7679,72.95,75,24,8.39,few clouds
157,Bethel,US,41.3712,-73.414,39.04,59,1,1.01,clear sky
158,Rio Claro,BR,-22.4114,-47.5614,65.8,48,4,2.51,clear sky
159,Mahina,PF,-17.5065,-149.489,83.97,70,75,11.5,light rain
160,Bluff,NZ,-46.6,168.3333,55.6,68,45,12.28,scattered clouds
161,La Rioja,ES,42.25,-2.5,38.48,99,100,4.61,light rain
162,Larap,PH,14.299,122.6504,82.36,82,16,10.98,few clouds
163,Puerto Ayora,EC,-0.7393,-90.3518,68.38,75,35,8.34,scattered clouds
164,Alofi,NU,-19.0595,-169.9187,79.23,74,98,9.86,overcast clouds
165,Plettenberg Bay,ZA,-34.0527,23.3716,60.78,83,99,8.21,light rain
166,Alexandria,EG,31.2156,29.9553,66.24,75,7,2.66,clear sky
167,New Norfolk,AU,-42.7826,147.0587,72.91,47,100,1.99,overcast clouds
168,Sao Filipe,CV,14.8961,-24.4956,80.98,59,1,9.95,clear sky
169,Mount Gambier,AU,-37.8333,140.7667,66.09,78,100,10.6,overcast clouds
170,Namibe,AO,-15.1961,12.1522,68.92,77,31,4.23,scattered clouds
171,Rio Gallegos,AR,-51.6226,-69.2181,44.65,49,0,3.44,clear sky
172,Sassandra,CI,4.95,-6.0833,76.82,86,5,1.23,clear sky
173,Katherine,AU,-14.4667,132.2667,93.52,52,98,8.05,overcast clouds
174,Ambatofinandrahana,MG,-20.55,46.8,61.63,89,16,1.92,few clouds
175,Isiolo,KE,0.3546,37.5822,66.92,64,96,4.27,overcast clouds
