City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,Manzil Salim,35.8567,8.4765,60.8,44,83,10.6,TN,2021-11-21 15:21:48
153,Apatou,5.155,-54.3472,88.74,56,71,4.45,GF,2021-11-21 15:21:48
154,Bowen,-20.0167,148.2333,76.42,71,30,10.83,AU,2021-11-21 15:21:49
155,Tomohon,1.3346,124.8392,68.94,91,23,0.63,ID,2021-11-21 15:21:49
156,Luderitz,-26.6481,15.1594,66.25,67,0,19.3,NA,2021-11-21 15:21:49
157,Laguna,38.421,-121.4238,51.4,97,1,0.0,US,2021-11-21 15:21:50
158,Esperance,-33.8667,121.9,67.41,74,94,15.93,AU,2021-11-21 15:21:50
159,Kahului,20.8947,-156.47,76.84,85,1,13.8,US,2021-11-21 15:21:51
160,Fukue,32.6881,128.8419,64.51,80,100,4.65,JP,2021-11-21 15:21:51
161,Kavieng,-2.5744,150.7967,82.63,74,92,10.92,PG,2021-11-21 15:21:52
162,Sur,22.5667,59.5289,76.41,51,51,10.8,OM,2021-11-21 15:21:52
163,Zenzeli,45.9241,47.0474,44.44,54,9,10.27,RU,2021-11-21 15:21:53
164,Pangnirtung,66.1451,-65.7125,0.75,93,76,6.26,CA,2021-11-21 15:21:53
165,Coquimbo,-29.9533,-71.3436,62.33,72,40,11.5,CL,2021-11-21 15:21:53
166,Caravelas,-17.7125,-39.2481,72.59,94,100,8.9,BR,2021-11-21 15:21:54
167,Namibe,-15.1961,12.1522,75.83,64,20,11.5,AO,2021-11-21 15:21:54
168,Leningradskiy,69.3833,178.4167,-14.01,95,35,3.83,RU,2021-11-21 15:21:55
169,Taoudenni,22.6783,-3.9836,89.83,20,74,5.48,ML,2021-11-21 15:21:08
170,Lazarev,52.225,141.5131,18.66,81,16,10.78,RU,2021-11-21 15:21:55
171,Mar Del Plata,-38.0023,-57.5575,89.62,55,0,11.99,AR,2021-11-21 15:21:56
172,Talnakh,69.4865,88.3972,-20.97,87,14,9.08,RU,2021-11-21 15:21:56
173,Pochutla,15.7432,-96.4661,86.83,57,0,1.48,MX,2021-11-21 15:21:57
174,Amapa,1.0,-52.0,83.05,74,100,4.21,BR,2021-11-21 15:21:57
175,Moussoro,13.6408,16.4901,95.27,10,69,13.31,TD,2021-11-21 15:21:57
