City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
118,Axim,GH,78.57,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
121,Mildura,AU,79.07,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
122,Blackwater,AU,80.82,overcast clouds,-23.5833,148.8833,Blackwater Motor Inn
125,Guacimo,CR,81.18,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
129,Mana,GF,78.17,broken clouds,5.6592,-53.7767,LE SAMANA
141,Swan Hill,AU,77.05,moderate rain,-35.3378,143.5544,Lazy River Motor Inn
142,Kavieng,PG,84.4,light rain,-2.5744,150.7967,Nusa Island Retreat
145,Poum,NC,78.4,light rain,-20.2333,164.0167,Gîte kajeon
150,Vao,NC,75.09,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
151,Mitsamiouli,KM,79.5,clear sky,-11.3847,43.2844,Foyer ADM
152,Karratha,AU,88.09,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
153,Meulaboh,ID,76.93,overcast clouds,4.1363,96.1285,Kost Pria
159,Mahina,PF,83.97,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
162,Larap,PH,82.36,few clouds,14.299,122.6504,Montemayor Cove
164,Alofi,NU,79.23,overcast clouds,-19.0595,-169.9187,Taloa Heights
168,Sao Filipe,CV,80.98,clear sky,14.8961,-24.4956,Hotel Xaguate
172,Sassandra,CI,76.82,clear sky,4.95,-6.0833,la terrasse
176,Charqueadas,BR,81.25,broken clouds,-29.9547,-51.6253,Hotel Ouro Verde
178,Samarai,PG,85.71,few clouds,-10.6167,150.6667,Nuli Sapi
188,Kahului,US,79.86,broken clouds,20.8947,-156.47,Maui Seaside Hotel
194,Salta,AR,82.69,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
195,Alicia,PH,80.51,broken clouds,16.7794,121.6973,Miguel’ Residences
200,Hambantota,LK,79.95,overcast clouds,6.1241,81.1185,Bungalow 63
201,Velingara,SN,77.63,few clouds,13.15,-14.1167,Hotel Najla
202,Kloulklubed,PW,88.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
204,Coahuayana,MX,80.08,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
218,Nisia Floresta,BR,79.61,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
223,Kapit,MY,76.44,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
224,Cordoba,AR,76.24,clear sky,-31.4135,-64.1811,Hotel Sussex
226,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
232,Codrington,AU,75.67,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
240,Moree,AU,84.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
241,Tabou,CI,78.42,clear sky,4.423,-7.3528,hotêl doufoulougou
244,Nabire,ID,88.32,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
246,Biloela,AU,81.21,broken clouds,-24.4167,150.5,Biloela Silo Motor Inn
252,Lorengau,PG,82.15,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Madras,IN,80.58,mist,13.0878,80.2785,City home
272,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
274,Bubaque,GW,82.35,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
279,Yarada,IN,79.12,mist,17.65,83.2667,Vishranti
288,Kalmunai,LK,76.55,overcast clouds,7.4167,81.8167,VS Villa
290,Iquitos,PE,77.04,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
296,Hervey Bay,AU,81.03,light rain,-25.2986,152.8535,Shelly Bay Resort
298,Port Blair,IN,82.94,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
300,Dicabisagan,PH,81.01,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
303,Baracoa,CU,76.05,clear sky,20.3467,-74.4958,Hostal Rio Miel
306,Port Hueneme,US,76.12,broken clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
307,Barranco,PA,75.38,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
